Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
NIRMAL,NIRMAL,KHANAPUR,KADDAM,AMBARIPET,2,COMMERCIAL,23,19,1691,40.26
NIRMAL,NIRMAL,KHANAPUR,KADDAM,BELLAL,2,COMMERCIAL,37,32,8032,69.41
NIRMAL,NIRMAL,KHANAPUR,KADDAM,CHITYAL,2,COMMERCIAL,13,13,377,16.14
NIRMAL,NIRMAL,KHANAPUR,KADDAM,DHARMAJIPET,2,COMMERCIAL,19,13,544,21.87
NIRMAL,NIRMAL,KHANAPUR,KADDAM,DILDARNAGAR,2,COMMERCIAL,6,6,343,12.62
NIRMAL,NIRMAL,KHANAPUR,KADDAM,DOSTH NAGAR,2,COMMERCIAL,4,3,2358,20.24
NIRMAL,NIRMAL,KHANAPUR,KADDAM,GANDIGOPALPUR,2,COMMERCIAL,1,1,258,5
NIRMAL,NIRMAL,KHANAPUR,KADDAM,GANGAPUR,2,COMMERCIAL,6,6,1083,29
NIRMAL,NIRMAL,KHANAPUR,KADDAM,ISLAMPUR,2,COMMERCIAL,1,1,0,5
NIRMAL,NIRMAL,KHANAPUR,KADDAM,KADDAM,2,COMMERCIAL,348,278,24104,491.9
NIRMAL,NIRMAL,KHANAPUR,KADDAM,KALLEDA,2,COMMERCIAL,12,11,918,17.68
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,TIRUMALAYAPALEM,JALLEPALLY,2,COMMERCIAL,22,16,2407,50.42
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,TIRUMALAYAPALEM,KESHAVAPURAM,2,COMMERCIAL,6,4,1593,19
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,TIRUMALAYAPALEM,KOKKERENI,2,COMMERCIAL,29,23,2023,80.76
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,TIRUMALAYAPALEM,PADAMATITHANDA,2,COMMERCIAL,4,1,64,6.55
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,TIRUMALAYAPALEM,PAPAIGUDEM,2,COMMERCIAL,7,7,365,14
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,TIRUMALAYAPALEM,PATHARLAPADU A,2,COMMERCIAL,53,49,8301,101.43
